 INFO 2014-07-16 15:56:40,681 [main] (ContentManagement.java:4664) - Starting [deleteContainer] execution
 INFO 2014-07-16 15:56:40,681 [main] (ContentManagement.java:4665) - Verify if user is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:56:42,749 [main] (ContentManagement.java:4756) - User is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:56:42,749 [main] (ContentManagement.java:4757) - Verify if the container [Cybage Automation Test ContainerEdit] displayed in Containers list
 INFO 2014-07-16 15:56:43,111 [main] (ContentManagement.java:4792) - [Cybage Automation Test ContainerEdit] displyaed in Containers list
 INFO 2014-07-16 15:56:43,111 [main] (ContentManagement.java:4794) - Edit the container [Cybage Automation Test ContainerEdit]
 INFO 2014-07-16 15:56:43,480 [main] (ContentManagement.java:4809) - Click operation successful on Edit link of a container [Cybage Automation Test ContainerEdit] 
 INFO 2014-07-16 15:56:58,887 [main] (ContentManagement.java:4833) - Verify if the Container Delte Success message displyaed 
 INFO 2014-07-16 15:56:58,933 [main] (ContentManagement.java:4872) - Delete Container Success message displayed successfully
 INFO 2014-07-16 15:56:58,933 [main] (ContentManagement.java:4873) - Verify if the container [null] displayed in Containers list
ERROR 2014-07-16 15:56:58,969 [main] (SeleniumCustomUtils.java:1115) - java.lang.NullPointerException
 INFO 2014-07-16 15:56:58,992 [main] (ContentManagement.java:4930) - Starting [createContainerWithSchema] execution
 INFO 2014-07-16 15:56:58,992 [main] (ContentManagement.java:4931) - Verify if user is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:57:01,013 [main] (ContentManagement.java:5024) - User is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:57:01,013 [main] (ContentManagement.java:5025) - Click on 'NEW CONTAINER' button
 INFO 2014-07-16 15:57:07,205 [main] (ContentManagement.java:5047) - Verify 'Name' field 'SAVE' & 'CANCEL' buttons are displayed
 INFO 2014-07-16 15:57:07,277 [main] (ContentManagement.java:5121) - 'Name' field 'SAVE' & 'CANCEL' buttons are displayed successfully 
 INFO 2014-07-16 15:57:07,278 [main] (ContentManagement.java:5122) - Create [Companies List] container
 INFO 2014-07-16 15:57:14,760 [main] (ContentManagement.java:5148) - Verify if the Success message displyaed 
